A,b,c,d,central_charge
"[1, 1, 0, 1, 8, 1, 0, 2, 1, ]","[1/2, 0, 1, ]",7/120,"[1, 1, 2, ]",17/10
"[1, 1, 0, 1, 8, 1, 0, 2, 1, ]","[1/2, 4, 1, ]",103/120,"[1, 1, 2, ]",17/10
"[1, 1, 0, 1, 8, 2, 0, 4, 2, ]","[1/2, 0, 0, ]",-1/168,"[1, 1, 2, ]",11/7
"[1, 1, 0, 1, 8, 2, 0, 4, 2, ]","[1/2, 2, 0, ]",47/168,"[1, 1, 2, ]",11/7
"[1, 1, 0, 1, 8, 2, 0, 4, 2, ]","[1/2, 4, 2, ]",143/168,"[1, 1, 2, ]",11/7
"[2, 1, 1, 1, 2, 1, 2, 2, 2, ]","[-1, 0, 1, ]",1/8,"[1, 1, 2, ]",3/2
"[2, 1, 1, 1, 2, 1, 2, 2, 2, ]","[-1/2, 0, 0, ]",-1/32,"[1, 1, 2, ]",3/2
"[2, 1, 1, 1, 2, 1, 2, 2, 2, ]","[0, -1, 1, ]",1/8,"[1, 1, 2, ]",3/2
"[2, 1, 1, 1, 2, 1, 2, 2, 2, ]","[0, -1/2, 0, ]",-1/32,"[1, 1, 2, ]",3/2
"[2, 1, 1, 1, 2, 1, 2, 2, 2, ]","[0, 0, 1, ]",0,"[1, 1, 2, ]",3/2
"[2, 1, 1, 1, 2, 1, 2, 2, 2, ]","[0, 1, 1, ]",1/8,"[1, 1, 2, ]",3/2
"[2, 1, 1, 1, 2, 1, 2, 2, 2, ]","[1, 0, 1, ]",1/8,"[1, 1, 2, ]",3/2
"[2, 1, 1, 1, 2, 1, 2, 2, 2, ]","[1/2, 1, 2, ]",7/32,"[1, 1, 2, ]",3/2
"[2, 1, 1, 1, 2, 1, 2, 2, 2, ]","[1, 1/2, 2, ]",7/32,"[1, 1, 2, ]",3/2
"[2, 1, 1, 1, 4, 1, 2, 2, 2, ]","[0, 0, 1, ]",1/120,"[1, 1, 2, ]",7/5
"[2, 1, 1, 1, 4, 1, 2, 2, 2, ]","[0, 2, 1, ]",49/120,"[1, 1, 2, ]",7/5
"[2, 2, 1, 2, 4, 2, 2, 4, 3, ]","[-1, -1, -1, ]",1/48,"[1, 1, 2, ]",5/4
"[2, 2, 1, 2, 4, 2, 2, 4, 3, ]","[0, 0, 0, ]",-1/24,"[1, 1, 2, ]",5/4
"[2, 2, 1, 2, 4, 2, 2, 4, 3, ]","[0, 0, 1, ]",1/48,"[1, 1, 2, ]",5/4
"[2, 2, 1, 2, 4, 2, 2, 4, 3, ]","[0, 1, 2, ]",5/24,"[1, 1, 2, ]",5/4
"[2, 2, 1, 2, 4, 2, 2, 4, 3, ]","[1, 2, 3, ]",25/48,"[1, 1, 2, ]",5/4
"[1, 1, 1/2, 1, 2, 1, 1, 2, 3/2, ]","[0, 0, 0, ]",-1/18,"[1, 1, 2, ]",5/3
"[1, 1, 1/2, 1, 2, 1, 1, 2, 3/2, ]","[0, 0, 1, ]",0,"[1, 1, 2, ]",5/3
"[1, 1, 1/2, 1, 2, 1, 1, 2, 3/2, ]","[0, 1, 1, ]",1/9,"[1, 1, 2, ]",5/3
"[1, 1, 1/2, 1, 2, 1, 1, 2, 3/2, ]","[1, 1, 2, ]",5/18,"[1, 1, 2, ]",5/3
"[1, 0, 1/2, 0, 2, 1, 1, 2, 2, ]","[0, 0, 0, ]",-5/88,"[1, 1, 2, ]",21/11
"[1, 0, 1/2, 0, 2, 1, 1, 2, 2, ]","[0, 0, 1, ]",-1/88,"[1, 1, 2, ]",21/11
"[1, 0, 1/2, 0, 2, 1, 1, 2, 2, ]","[0, 1, 2, ]",19/88,"[1, 1, 2, ]",21/11
"[1, 0, 1/2, 0, 2, 1, 1, 2, 2, ]","[1, 1, 2, ]",35/88,"[1, 1, 2, ]",21/11
"[2, 2, 2, 2, 5, 4, 4, 8, 8, ]","[0, -1/2, 0, ]",-1/42,"[1, 1, 2, ]",8/7
"[2, 2, 2, 2, 5, 4, 4, 8, 8, ]","[0, 1/2, 2, ]",5/42,"[1, 1, 2, ]",8/7
"[2, 2, 2, 2, 5, 4, 4, 8, 8, ]","[1, 3/2, 4, ]",17/42,"[1, 1, 2, ]",8/7
"[1, 1, 0, 1, 3, 1/2, 0, 1, 3/2, ]","[1/2, -1/2, 1/2, ]",1/40,"[1, 1, 2, ]",9/5
"[1, 1, 0, 1, 3, 1/2, 0, 1, 3/2, ]","[1/2, 1/2, -1/2, ]",1/40,"[1, 1, 2, ]",9/5
"[1, 1, 0, 1, 3, 1/2, 0, 1, 3/2, ]","[1/2, 1/2, 3/2, ]",9/40,"[1, 1, 2, ]",9/5
"[1, 1, 0, 1, 3, 1/2, 0, 1, 3/2, ]","[1/2, 3/2, 1/2, ]",9/40,"[1, 1, 2, ]",9/5
"[1, 1, 0, 1, 4, 1, 0, 2, 3/2, ]","[1/2, 0, -1, ]",3/56,"[1, 1, 2, ]",12/7
"[1, 1, 0, 1, 4, 1, 0, 2, 3/2, ]","[1/2, 0, 0, ]",-1/56,"[1, 1, 2, ]",12/7
"[1, 1, 0, 1, 4, 1, 0, 2, 3/2, ]","[1/2, 2, 1, ]",19/56,"[1, 1, 2, ]",12/7
"[3, 2, 2, 2, 4, 2, 4, 4, 4, ]","[-1/2, 0, 0, ]",-1/42,"[1, 1, 2, ]",8/7
"[3, 2, 2, 2, 4, 2, 4, 4, 4, ]","[-1/2, 1, 0, ]",5/42,"[1, 1, 2, ]",8/7
"[3, 2, 2, 2, 4, 2, 4, 4, 4, ]","[1/2, 2, 2, ]",17/42,"[1, 1, 2, ]",8/7
"[3/2, 1, 1, 1, 3, 2, 2, 4, 4, ]","[-1/2, -1/2, 0, ]",1/168,"[1, 1, 2, ]",10/7
"[3/2, 1, 1, 1, 3, 2, 2, 4, 4, ]","[0, -1/2, 0, ]",-5/168,"[1, 1, 2, ]",10/7
"[3/2, 1, 1, 1, 3, 2, 2, 4, 4, ]","[1/2, 1/2, 2, ]",25/168,"[1, 1, 2, ]",10/7
"[2, 1, 1, 1, 5/2, 3/2, 2, 3, 3, ]","[0, -1, -1, ]",1/168,"[1, 1, 2, ]",10/7
"[2, 1, 1, 1, 5/2, 3/2, 2, 3, 3, ]","[0, -1/2, 0, ]",-5/168,"[1, 1, 2, ]",10/7
"[2, 1, 1, 1, 5/2, 3/2, 2, 3, 3, ]","[1, 0, 1, ]",25/168,"[1, 1, 2, ]",10/7
